CGPA,Internships,Projects,Workshops/Certifications,AptitudeTestScore,SoftSkillsRating,ExtracurricularActivities,PlacementTraining,SSC_Marks,HSC_Marks,PlacementStatus
7.4,1.0,2.0,1.0,76.0,4.7,No,Yes,66.0,69.0,NotPlaced
8.5,1.0,3.0,0.0,90.0,4.8,Yes,Yes,85.0,85.0,Placed
8.6,1.0,2.0,2.0,75.0,4.3,Yes,Yes,62.0,80.0,Placed
6.9,0.0,1.0,0.0,70.0,3.9,No,Yes,79.0,68.0,Placed
7.8,1.0,1.0,1.0,67.0,4.3,No,No,65.0,73.0,NotPlaced
8.3,1.0,2.0,2.0,89.0,4.8,Yes,Yes,75.0,81.0,Placed
8.2,1.0,2.0,2.0,77.0,4.2,No,Yes,72.0,72.0,Placed
8.5,2.0,3.0,3.0,90.0,4.7,Yes,Yes,79.0,86.0,Placed
6.7,0.0,3.0,2.0,88.0,4.2,Yes,Yes,72.0,86.0,Placed
8.6,2.0,3.0,1.0,90.0,4.8,Yes,Yes,63.0,84.0,Placed
8.3,2.0,3.0,2.0,85.0,4.8,Yes,Yes,77.0,83.0,Placed
6.7,0.0,1.0,1.0,72.0,4.4,No,No,55.0,60.0,NotPlaced
8.6,2.0,3.0,2.0,88.0,4.7,Yes,Yes,80.0,87.0,Placed
7.4,1.0,3.0,0.0,86.0,4.8,No,Yes,70.0,73.0,NotPlaced
6.7,1.0,1.0,2.0,73.0,4.5,No,No,55.0,66.0,Placed
6.9,1.0,1.0,1.0,76.0,4.4,No,No,55.0,65.0,NotPlaced
7.0,1.0,1.0,0.0,62.0,4.3,No,Yes,59.0,67.0,NotPlaced
8.1,1.0,3.0,2.0,90.0,4.6,Yes,Yes,77.0,87.0,Placed
7.7,1.0,2.0,0.0,74.0,3.8,Yes,No,55.0,66.0,NotPlaced
6.5,0.0,2.0,1.0,77.0,4.8,No,Yes,56.0,65.0,NotPlaced
8.2,1.0,3.0,0.0,65.0,4.1,Yes,No,66.0,65.0,NotPlaced
8.1,2.0,3.0,2.0,90.0,4.7,Yes,Yes,82.0,82.0,Placed
6.5,1.0,2.0,1.0,80.0,4.5,Yes,Yes,72.0,67.0,NotPlaced
6.5,0.0,2.0,1.0,72.0,4.5,No,No,57.0,69.0,NotPlaced
8.8,2.0,3.0,2.0,90.0,4.8,Yes,Yes,86.0,88.0,Placed
8.0,1.0,1.0,0.0,74.0,4.5,Yes,Yes,55.0,65.0,NotPlaced
8.4,2.0,2.0,2.0,81.0,4.6,Yes,Yes,77.0,82.0,Placed
8.0,1.0,1.0,0.0,86.0,4.2,No,No,55.0,83.0,NotPlaced
6.6,0.0,1.0,0.0,76.0,3.9,No,Yes,78.0,69.0,Placed
7.7,2.0,2.0,0.0,86.0,4.0,Yes,Yes,79.0,64.0,NotPlaced
8.2,1.0,2.0,1.0,86.0,4.3,Yes,Yes,86.0,63.0,Placed
7.2,1.0,2.0,0.0,74.0,4.1,No,No,70.0,65.0,NotPlaced
6.6,1.0,2.0,1.0,72.0,4.1,No,No,55.0,75.0,NotPlaced
7.6,1.0,2.0,0.0,77.0,4.6,Yes,No,84.0,67.0,NotPlaced
8.0,0.0,3.0,0.0,68.0,4.2,Yes,No,64.0,83.0,Placed
7.8,2.0,3.0,2.0,87.0,4.8,Yes,No,90.0,83.0,NotPlaced
7.2,1.0,1.0,0.0,82.0,4.6,Yes,Yes,57.0,64.0,NotPlaced
7.7,1.0,1.0,0.0,74.0,4.1,No,Yes,57.0,68.0,Placed
8.4,1.0,1.0,2.0,67.0,3.8,Yes,Yes,76.0,69.0,NotPlaced
7.5,1.0,1.0,1.0,69.0,4.3,No,Yes,71.0,76.0,NotPlaced
6.7,0.0,2.0,1.0,79.0,4.1,No,No,78.0,67.0,NotPlaced
8.1,2.0,3.0,2.0,90.0,4.8,Yes,Yes,80.0,86.0,Placed
7.5,1.0,2.0,0.0,73.0,4.4,No,No,66.0,84.0,NotPlaced
7.4,2.0,1.0,0.0,75.0,4.2,No,Yes,65.0,84.0,NotPlaced
6.5,1.0,1.0,0.0,63.0,4.5,No,Yes,57.0,68.0,NotPlaced
8.1,1.0,3.0,1.0,90.0,4.6,Yes,Yes,73.0,86.0,Placed
6.9,1.0,1.0,0.0,83.0,3.5,No,Yes,61.0,71.0,NotPlaced
8.2,1.0,3.0,0.0,83.0,4.8,Yes,Yes,71.0,84.0,Placed
7.6,1.0,2.0,1.0,72.0,3.9,No,Yes,58.0,66.0,NotPlaced
6.6,1.0,1.0,1.0,69.0,3.6,No,Yes,55.0,72.0,NotPlaced
6.7,1.0,2.0,1.0,74.0,4.8,Yes,Yes,72.0,64.0,Placed
8.2,2.0,3.0,2.0,76.0,4.5,Yes,Yes,73.0,82.0,NotPlaced
8.3,2.0,3.0,1.0,90.0,4.2,Yes,Yes,82.0,83.0,Placed
7.6,0.0,2.0,0.0,86.0,4.8,Yes,Yes,57.0,72.0,Placed
6.7,1.0,3.0,0.0,87.0,4.6,Yes,No,81.0,69.0,NotPlaced
8.1,0.0,2.0,1.0,84.0,3.8,No,No,71.0,68.0,NotPlaced
8.5,1.0,2.0,2.0,79.0,3.9,Yes,Yes,76.0,66.0,Placed
8.8,1.0,3.0,0.0,76.0,4.7,Yes,Yes,75.0,84.0,Placed
7.2,1.0,2.0,0.0,68.0,4.2,Yes,Yes,57.0,66.0,NotPlaced
7.6,1.0,1.0,0.0,80.0,4.5,Yes,Yes,66.0,67.0,NotPlaced
7.1,1.0,1.0,0.0,70.0,3.3,No,No,55.0,66.0,NotPlaced
8.1,1.0,3.0,2.0,89.0,4.6,Yes,Yes,86.0,80.0,Placed
7.4,1.0,3.0,0.0,83.0,4.2,No,Yes,65.0,82.0,NotPlaced
7.7,2.0,2.0,2.0,85.0,4.8,Yes,Yes,74.0,83.0,NotPlaced
7.5,0.0,1.0,1.0,75.0,3.3,No,Yes,61.0,73.0,NotPlaced
7.5,1.0,1.0,0.0,64.0,4.0,No,No,73.0,66.0,NotPlaced
7.8,2.0,2.0,2.0,90.0,4.8,Yes,No,81.0,82.0,Placed
7.7,1.0,3.0,1.0,89.0,4.6,No,Yes,61.0,84.0,Placed
7.9,0.0,1.0,2.0,83.0,4.8,Yes,No,58.0,81.0,NotPlaced
7.4,1.0,2.0,1.0,63.0,3.9,No,No,55.0,67.0,NotPlaced
7.3,1.0,1.0,0.0,80.0,4.7,No,Yes,64.0,65.0,NotPlaced
6.5,1.0,1.0,1.0,62.0,3.8,No,Yes,58.0,65.0,NotPlaced
7.5,2.0,1.0,1.0,76.0,4.2,Yes,Yes,57.0,80.0,NotPlaced
6.5,1.0,1.0,0.0,68.0,4.1,No,No,61.0,66.0,NotPlaced
8.5,2.0,3.0,2.0,90.0,4.8,Yes,Yes,72.0,87.0,Placed
6.7,0.0,1.0,1.0,74.0,3.9,No,No,55.0,70.0,NotPlaced
6.5,0.0,1.0,0.0,82.0,4.4,No,No,65.0,69.0,NotPlaced
8.1,1.0,3.0,2.0,90.0,4.8,Yes,Yes,79.0,84.0,Placed
8.7,2.0,3.0,2.0,90.0,4.8,Yes,Yes,79.0,85.0,Placed
8.0,1.0,1.0,3.0,84.0,4.0,No,Yes,57.0,61.0,NotPlaced
7.3,1.0,3.0,1.0,81.0,4.2,Yes,Yes,69.0,65.0,NotPlaced
7.4,1.0,1.0,1.0,81.0,4.1,Yes,No,55.0,62.0,NotPlaced
8.6,2.0,3.0,0.0,81.0,4.7,Yes,No,71.0,83.0,Placed
6.7,2.0,1.0,2.0,76.0,4.8,Yes,No,55.0,78.0,NotPlaced
7.6,1.0,1.0,1.0,67.0,3.5,No,No,55.0,67.0,NotPlaced
8.8,1.0,3.0,2.0,90.0,4.6,Yes,Yes,83.0,83.0,Placed
6.5,1.0,2.0,0.0,65.0,4.4,No,Yes,61.0,68.0,NotPlaced
6.5,1.0,2.0,1.0,78.0,4.2,No,No,62.0,62.0,NotPlaced
7.4,1.0,2.0,1.0,75.0,4.2,No,Yes,55.0,74.0,NotPlaced
8.7,2.0,3.0,2.0,81.0,4.7,Yes,Yes,85.0,79.0,Placed
8.0,1.0,1.0,1.0,68.0,4.2,No,Yes,59.0,66.0,NotPlaced
7.7,1.0,3.0,2.0,90.0,4.8,Yes,No,80.0,85.0,Placed
7.3,1.0,1.0,0.0,64.0,3.2,No,Yes,58.0,67.0,NotPlaced
8.4,2.0,1.0,2.0,76.0,4.1,No,No,56.0,63.0,NotPlaced
7.7,1.0,2.0,0.0,73.0,4.0,No,Yes,65.0,75.0,Placed
7.5,1.0,1.0,1.0,68.0,4.7,No,No,58.0,64.0,NotPlaced
7.4,0.0,1.0,0.0,79.0,4.3,No,No,63.0,73.0,NotPlaced
7.4,1.0,1.0,1.0,64.0,4.3,No,Yes,73.0,73.0,NotPlaced
8.5,1.0,2.0,2.0,90.0,4.8,Yes,Yes,80.0,86.0,Placed
8.0,1.0,3.0,0.0,80.0,4.4,Yes,Yes,85.0,84.0,Placed
6.5,1.0,1.0,1.0,72.0,3.8,No,No,64.0,67.0,NotPlaced
8.4,1.0,1.0,0.0,81.0,4.6,Yes,No,78.0,82.0,Placed
8.7,0.0,3.0,2.0,88.0,4.8,No,No,87.0,84.0,NotPlaced
8.0,0.0,1.0,0.0,60.0,4.0,No,No,57.0,70.0,NotPlaced
8.4,2.0,3.0,1.0,88.0,4.6,Yes,Yes,74.0,82.0,NotPlaced
8.2,2.0,3.0,2.0,90.0,4.4,Yes,Yes,90.0,81.0,Placed
8.1,2.0,2.0,2.0,90.0,4.5,Yes,Yes,73.0,82.0,Placed
7.9,1.0,3.0,1.0,75.0,3.7,No,Yes,62.0,65.0,NotPlaced
8.9,2.0,3.0,2.0,90.0,4.8,Yes,Yes,69.0,85.0,Placed
6.5,1.0,1.0,1.0,72.0,4.5,No,No,66.0,70.0,NotPlaced
7.6,1.0,1.0,0.0,73.0,4.3,No,Yes,55.0,76.0,Placed
8.4,1.0,3.0,2.0,90.0,4.6,Yes,Yes,67.0,80.0,Placed
7.8,2.0,3.0,0.0,77.0,4.8,Yes,Yes,79.0,87.0,NotPlaced
8.4,1.0,2.0,1.0,74.0,4.3,Yes,Yes,59.0,80.0,Placed
7.6,1.0,2.0,0.0,74.0,3.7,No,Yes,58.0,74.0,Placed
7.9,1.0,1.0,1.0,62.0,4.6,Yes,Yes,87.0,82.0,NotPlaced
7.9,1.0,3.0,1.0,80.0,4.2,Yes,Yes,56.0,82.0,Placed
8.0,2.0,1.0,2.0,90.0,4.8,Yes,Yes,74.0,81.0,NotPlaced
7.9,2.0,1.0,0.0,83.0,4.0,Yes,Yes,63.0,70.0,NotPlaced
8.4,2.0,3.0,2.0,90.0,4.8,Yes,Yes,90.0,85.0,Placed
8.6,0.0,3.0,2.0,90.0,4.8,Yes,Yes,73.0,78.0,Placed
7.8,0.0,1.0,0.0,81.0,3.9,Yes,Yes,79.0,65.0,Placed
8.1,2.0,3.0,3.0,90.0,4.8,Yes,Yes,80.0,83.0,Placed
7.2,1.0,3.0,1.0,75.0,4.2,Yes,Yes,64.0,84.0,NotPlaced
7.7,0.0,1.0,0.0,81.0,4.8,Yes,Yes,69.0,63.0,Placed
8.4,1.0,3.0,2.0,90.0,4.5,Yes,Yes,79.0,86.0,Placed
8.0,1.0,3.0,1.0,87.0,4.6,Yes,Yes,72.0,83.0,NotPlaced
7.8,0.0,1.0,1.0,72.0,4.0,No,No,61.0,69.0,NotPlaced
6.5,1.0,1.0,0.0,63.0,3.5,No,No,56.0,64.0,NotPlaced
6.5,0.0,3.0,0.0,71.0,3.6,No,Yes,57.0,74.0,NotPlaced
7.9,1.0,2.0,1.0,81.0,4.0,Yes,Yes,60.0,71.0,NotPlaced
6.7,1.0,1.0,0.0,75.0,4.2,No,No,56.0,64.0,NotPlaced
6.9,0.0,1.0,0.0,73.0,4.1,No,Yes,55.0,69.0,Placed
6.5,1.0,1.0,2.0,85.0,4.3,Yes,No,62.0,72.0,Placed
6.5,0.0,1.0,1.0,79.0,3.9,No,No,55.0,66.0,NotPlaced
7.3,1.0,1.0,1.0,71.0,3.6,No,No,65.0,64.0,NotPlaced
8.3,2.0,3.0,0.0,71.0,4.6,Yes,Yes,77.0,82.0,Placed
7.5,1.0,1.0,1.0,74.0,3.9,No,No,63.0,65.0,NotPlaced
8.0,2.0,3.0,3.0,76.0,4.1,Yes,Yes,78.0,61.0,NotPlaced
8.3,1.0,2.0,1.0,69.0,3.8,No,Yes,76.0,71.0,NotPlaced
6.6,0.0,3.0,0.0,87.0,4.5,No,No,80.0,82.0,NotPlaced
7.4,0.0,3.0,0.0,90.0,4.6,No,No,65.0,70.0,NotPlaced
8.0,1.0,1.0,1.0,78.0,4.4,No,No,66.0,68.0,NotPlaced
8.0,2.0,3.0,2.0,90.0,4.8,Yes,Yes,78.0,86.0,Placed
6.7,1.0,2.0,0.0,73.0,4.5,No,Yes,55.0,65.0,NotPlaced
8.3,1.0,2.0,3.0,78.0,3.8,Yes,No,67.0,65.0,NotPlaced
8.5,1.0,3.0,2.0,90.0,4.8,Yes,Yes,61.0,86.0,Placed
7.5,2.0,1.0,2.0,90.0,4.8,Yes,No,55.0,65.0,NotPlaced
7.4,1.0,1.0,0.0,60.0,3.4,No,No,58.0,62.0,NotPlaced
8.4,0.0,1.0,2.0,88.0,4.8,Yes,Yes,74.0,82.0,Placed
8.2,1.0,3.0,0.0,82.0,4.8,Yes,Yes,70.0,73.0,Placed
6.5,1.0,1.0,0.0,74.0,4.2,No,Yes,74.0,61.0,NotPlaced
7.7,1.0,1.0,0.0,71.0,4.7,No,Yes,57.0,69.0,NotPlaced
7.3,1.0,2.0,2.0,67.0,4.5,No,No,63.0,66.0,NotPlaced
6.5,0.0,1.0,0.0,78.0,3.7,Yes,Yes,75.0,69.0,NotPlaced
6.5,1.0,1.0,1.0,68.0,4.1,No,No,55.0,65.0,NotPlaced
7.5,1.0,1.0,0.0,76.0,4.3,No,Yes,73.0,79.0,NotPlaced
7.8,1.0,1.0,1.0,65.0,3.9,No,No,55.0,70.0,NotPlaced
6.8,1.0,1.0,0.0,78.0,4.3,No,No,61.0,62.0,NotPlaced
8.4,2.0,3.0,2.0,90.0,4.1,Yes,Yes,76.0,82.0,Placed
7.8,2.0,2.0,2.0,80.0,4.6,No,Yes,59.0,74.0,Placed
7.5,1.0,2.0,0.0,77.0,4.2,Yes,Yes,58.0,63.0,NotPlaced
8.9,0.0,1.0,2.0,80.0,4.8,Yes,Yes,75.0,82.0,Placed
6.5,0.0,1.0,0.0,75.0,3.7,No,No,58.0,62.0,NotPlaced
8.4,1.0,1.0,2.0,87.0,4.1,No,No,78.0,70.0,NotPlaced
8.1,0.0,1.0,0.0,71.0,3.6,Yes,No,69.0,67.0,NotPlaced
8.5,2.0,3.0,0.0,86.0,4.2,Yes,Yes,60.0,85.0,Placed
7.6,1.0,1.0,1.0,82.0,4.8,Yes,Yes,79.0,86.0,Placed
7.8,2.0,3.0,0.0,79.0,4.3,Yes,No,87.0,87.0,NotPlaced
8.6,1.0,3.0,2.0,90.0,4.7,Yes,Yes,68.0,84.0,Placed
7.9,2.0,3.0,2.0,76.0,4.6,Yes,Yes,79.0,82.0,Placed
6.5,0.0,2.0,2.0,75.0,4.5,Yes,No,65.0,59.0,NotPlaced
8.2,0.0,2.0,1.0,82.0,4.5,Yes,Yes,78.0,87.0,Placed
8.2,1.0,1.0,0.0,81.0,4.3,Yes,Yes,60.0,70.0,Placed
7.6,1.0,1.0,0.0,64.0,4.1,No,No,69.0,67.0,NotPlaced
7.3,1.0,2.0,1.0,84.0,4.6,No,Yes,55.0,72.0,NotPlaced
8.4,2.0,3.0,2.0,90.0,4.5,Yes,Yes,85.0,79.0,Placed
8.3,2.0,3.0,3.0,90.0,4.5,Yes,Yes,70.0,88.0,Placed
7.8,1.0,3.0,0.0,88.0,4.8,Yes,Yes,70.0,78.0,Placed
8.3,1.0,2.0,1.0,82.0,4.7,Yes,Yes,77.0,84.0,NotPlaced
7.5,1.0,1.0,1.0,69.0,4.1,No,No,55.0,75.0,NotPlaced
8.6,2.0,3.0,2.0,78.0,4.8,Yes,Yes,82.0,81.0,NotPlaced
7.8,2.0,2.0,2.0,77.0,4.2,Yes,No,57.0,69.0,NotPlaced
6.6,1.0,1.0,1.0,71.0,4.3,No,No,70.0,66.0,NotPlaced
7.4,0.0,1.0,1.0,70.0,4.2,No,No,61.0,70.0,NotPlaced
6.9,1.0,2.0,1.0,74.0,4.1,No,No,55.0,69.0,NotPlaced
6.6,1.0,1.0,0.0,77.0,4.5,No,No,62.0,70.0,NotPlaced
8.3,1.0,2.0,2.0,88.0,4.1,Yes,Yes,80.0,79.0,Placed
7.9,2.0,2.0,2.0,88.0,4.8,Yes,Yes,81.0,85.0,Placed
6.6,1.0,2.0,1.0,76.0,4.1,Yes,Yes,82.0,69.0,NotPlaced
8.0,2.0,3.0,2.0,86.0,4.8,Yes,Yes,62.0,83.0,Placed
7.5,1.0,2.0,0.0,86.0,3.8,No,No,55.0,68.0,NotPlaced
7.9,2.0,3.0,2.0,90.0,4.8,Yes,No,81.0,78.0,NotPlaced
8.3,1.0,3.0,2.0,78.0,3.9,Yes,Yes,60.0,61.0,Placed
7.4,1.0,1.0,0.0,74.0,3.5,No,Yes,67.0,62.0,NotPlaced
8.0,2.0,2.0,2.0,87.0,3.8,Yes,Yes,79.0,78.0,Placed
8.7,2.0,3.0,2.0,87.0,4.7,Yes,Yes,80.0,84.0,Placed
7.4,1.0,2.0,0.0,77.0,4.5,No,Yes,66.0,86.0,NotPlaced
7.9,2.0,3.0,2.0,90.0,4.8,Yes,Yes,83.0,88.0,Placed
7.5,1.0,1.0,1.0,70.0,4.6,No,No,59.0,66.0,NotPlaced
7.4,2.0,1.0,1.0,87.0,4.5,Yes,Yes,68.0,84.0,NotPlaced
7.7,0.0,1.0,1.0,69.0,4.8,Yes,Yes,78.0,65.0,NotPlaced
7.8,0.0,1.0,1.0,70.0,3.8,No,Yes,73.0,73.0,NotPlaced
7.5,2.0,3.0,0.0,88.0,4.6,Yes,Yes,79.0,83.0,NotPlaced
8.2,2.0,3.0,1.0,69.0,4.0,Yes,Yes,77.0,82.0,NotPlaced
7.8,1.0,3.0,2.0,75.0,4.3,Yes,Yes,77.0,86.0,NotPlaced
7.6,1.0,1.0,0.0,72.0,4.6,Yes,Yes,68.0,84.0,NotPlaced
8.5,2.0,3.0,2.0,90.0,4.8,Yes,Yes,80.0,79.0,Placed
6.7,0.0,1.0,1.0,71.0,4.7,No,Yes,76.0,70.0,NotPlaced
7.6,1.0,3.0,0.0,82.0,4.5,No,Yes,56.0,72.0,NotPlaced
7.6,0.0,2.0,0.0,80.0,3.7,Yes,No,85.0,61.0,NotPlaced
7.3,1.0,2.0,0.0,71.0,4.4,No,Yes,58.0,67.0,NotPlaced
8.1,1.0,2.0,1.0,78.0,3.5,No,Yes,71.0,70.0,NotPlaced
7.6,2.0,3.0,0.0,88.0,4.4,No,Yes,80.0,68.0,Placed
7.4,1.0,2.0,0.0,77.0,3.8,No,Yes,59.0,63.0,NotPlaced
8.4,0.0,2.0,1.0,85.0,4.3,Yes,Yes,62.0,81.0,Placed
6.7,1.0,2.0,1.0,73.0,4.3,No,Yes,71.0,66.0,NotPlaced
6.5,1.0,1.0,0.0,70.0,4.7,No,Yes,79.0,64.0,NotPlaced
7.4,1.0,2.0,1.0,68.0,3.4,No,Yes,57.0,61.0,NotPlaced
8.4,2.0,3.0,1.0,76.0,4.1,Yes,Yes,68.0,64.0,NotPlaced
6.5,1.0,1.0,0.0,68.0,4.3,No,Yes,55.0,70.0,NotPlaced
6.6,1.0,2.0,1.0,82.0,4.4,Yes,Yes,74.0,82.0,NotPlaced
8.1,0.0,2.0,2.0,80.0,4.4,Yes,No,82.0,85.0,Placed
6.5,1.0,1.0,0.0,74.0,4.2,No,No,59.0,65.0,NotPlaced
8.5,1.0,3.0,2.0,75.0,4.5,Yes,Yes,75.0,84.0,NotPlaced
8.7,2.0,3.0,2.0,90.0,4.8,Yes,Yes,83.0,81.0,Placed
7.5,1.0,2.0,3.0,86.0,4.8,No,Yes,60.0,67.0,NotPlaced
8.1,2.0,3.0,2.0,90.0,4.8,Yes,Yes,86.0,88.0,Placed
8.2,1.0,3.0,1.0,83.0,4.1,Yes,Yes,77.0,83.0,NotPlaced
8.7,2.0,1.0,0.0,66.0,4.8,Yes,No,70.0,59.0,NotPlaced
6.6,0.0,1.0,2.0,72.0,4.2,No,Yes,86.0,88.0,Placed
8.1,0.0,2.0,3.0,78.0,4.1,Yes,Yes,81.0,78.0,Placed
6.5,1.0,3.0,0.0,80.0,3.7,No,No,59.0,66.0,NotPlaced
7.4,1.0,1.0,0.0,88.0,4.5,No,Yes,76.0,71.0,Placed
8.2,2.0,3.0,2.0,80.0,4.8,Yes,Yes,79.0,84.0,Placed
6.8,2.0,2.0,2.0,80.0,4.6,No,Yes,61.0,69.0,NotPlaced
8.0,1.0,2.0,1.0,76.0,4.5,No,Yes,68.0,75.0,NotPlaced
8.5,1.0,3.0,0.0,82.0,4.4,Yes,Yes,68.0,88.0,Placed
6.6,1.0,2.0,1.0,65.0,4.1,No,No,56.0,58.0,NotPlaced
8.4,1.0,2.0,0.0,79.0,3.8,No,Yes,60.0,64.0,NotPlaced
7.8,1.0,1.0,1.0,79.0,3.7,No,Yes,56.0,59.0,NotPlaced
7.7,1.0,2.0,0.0,81.0,3.8,Yes,Yes,65.0,59.0,NotPlaced
6.8,1.0,1.0,0.0,73.0,3.7,No,Yes,55.0,65.0,NotPlaced
7.3,1.0,2.0,1.0,71.0,4.7,No,No,59.0,57.0,NotPlaced
6.5,2.0,2.0,2.0,79.0,4.5,Yes,Yes,83.0,87.0,Placed
8.3,2.0,1.0,1.0,83.0,4.5,Yes,Yes,82.0,86.0,NotPlaced
7.3,1.0,2.0,1.0,79.0,3.8,No,Yes,58.0,73.0,NotPlaced
6.8,1.0,2.0,1.0,65.0,3.9,Yes,Yes,71.0,85.0,Placed
8.7,1.0,3.0,2.0,90.0,4.8,Yes,Yes,69.0,88.0,Placed
8.3,2.0,3.0,1.0,90.0,4.8,Yes,No,55.0,80.0,Placed
8.2,1.0,2.0,1.0,79.0,3.8,Yes,Yes,55.0,70.0,NotPlaced
8.2,1.0,1.0,2.0,86.0,4.4,No,No,76.0,82.0,NotPlaced
8.5,0.0,2.0,0.0,81.0,3.2,No,Yes,55.0,63.0,NotPlaced
8.0,0.0,1.0,1.0,87.0,3.8,No,Yes,55.0,71.0,NotPlaced
7.9,1.0,1.0,0.0,77.0,4.7,Yes,Yes,64.0,60.0,NotPlaced
7.7,1.0,1.0,2.0,82.0,4.4,No,No,55.0,70.0,NotPlaced
7.6,0.0,3.0,3.0,75.0,4.3,Yes,Yes,82.0,87.0,Placed
6.7,1.0,3.0,0.0,77.0,4.1,Yes,Yes,69.0,67.0,NotPlaced
8.5,0.0,2.0,2.0,75.0,4.5,Yes,No,76.0,83.0,Placed
8.8,1.0,2.0,2.0,90.0,4.8,Yes,No,75.0,88.0,Placed
6.5,2.0,3.0,1.0,82.0,4.6,Yes,No,83.0,63.0,NotPlaced
7.5,0.0,1.0,1.0,80.0,4.2,Yes,No,84.0,64.0,NotPlaced
7.7,2.0,3.0,2.0,78.0,4.6,Yes,Yes,78.0,83.0,NotPlaced
7.7,0.0,1.0,0.0,79.0,4.8,No,Yes,58.0,71.0,NotPlaced
8.6,1.0,1.0,2.0,84.0,4.3,Yes,Yes,57.0,82.0,Placed
7.5,0.0,2.0,0.0,69.0,3.6,No,No,61.0,59.0,NotPlaced
6.8,1.0,1.0,0.0,68.0,4.3,No,Yes,65.0,69.0,NotPlaced
8.1,0.0,3.0,2.0,90.0,4.8,Yes,Yes,69.0,84.0,NotPlaced
8.4,2.0,3.0,3.0,82.0,4.5,Yes,No,82.0,85.0,Placed
7.5,1.0,1.0,0.0,67.0,3.4,No,No,65.0,71.0,NotPlaced
8.1,1.0,3.0,0.0,70.0,4.8,Yes,No,71.0,72.0,NotPlaced
7.4,1.0,1.0,1.0,64.0,4.0,No,No,55.0,62.0,NotPlaced
8.4,2.0,3.0,2.0,80.0,4.6,Yes,Yes,72.0,79.0,Placed
8.2,0.0,3.0,2.0,90.0,4.8,Yes,Yes,79.0,80.0,Placed
8.0,1.0,2.0,1.0,80.0,4.3,No,Yes,71.0,61.0,NotPlaced
7.9,0.0,3.0,2.0,90.0,4.8,Yes,Yes,68.0,83.0,Placed
6.8,0.0,1.0,0.0,77.0,3.3,No,No,64.0,69.0,NotPlaced
8.3,2.0,3.0,2.0,82.0,4.6,Yes,Yes,76.0,85.0,Placed
7.4,1.0,2.0,1.0,75.0,4.3,No,Yes,55.0,85.0,NotPlaced
7.6,1.0,1.0,0.0,66.0,4.1,No,Yes,62.0,73.0,NotPlaced
8.5,2.0,3.0,1.0,90.0,4.8,Yes,Yes,78.0,82.0,NotPlaced
